date,kcals,steps,km
2016-06-23 00:00:00+00:00,,10408.0,6.46
2016-06-24 00:00:00+00:00,,13251.0,8.11
2016-06-25 00:00:00+00:00,,13588.0,9.34
2016-06-26 00:00:00+00:00,,11410.0,7.38
2016-06-27 00:00:00+00:00,,20994.0,14.98
2016-06-28 00:00:00+00:00,,10708.0,6.68
2016-06-29 00:00:00+00:00,,22406.0,14.22
2016-06-30 00:00:00+00:00,,20162.0,12.68
2016-07-01 00:00:00+00:00,,17668.0,11.38
2016-07-02 00:00:00+00:00,,13275.0,8.95
2016-07-03 00:00:00+00:00,,22072.0,18.11
2016-07-04 00:00:00+00:00,,29014.0,24.38
2016-07-05 00:00:00+00:00,,30214.0,25.06
2016-07-06 00:00:00+00:00,,29635.0,21.58
2016-07-07 00:00:00+00:00,,21963.0,15.71
2016-07-08 00:00:00+00:00,,38192.0,26.4
2016-07-09 00:00:00+00:00,,9467.0,6.24
2016-07-10 00:00:00+00:00,,20212.0,14.51
2016-07-11 00:00:00+00:00,,12070.0,8.62
2016-07-12 00:00:00+00:00,,32639.0,21.42
2016-07-13 00:00:00+00:00,,13860.0,9.38
2016-07-14 00:00:00+00:00,,26975.0,16.62
2016-07-15 00:00:00+00:00,,17061.0,13.68
2016-07-16 00:00:00+00:00,,15947.0,11.32
2016-07-17 00:00:00+00:00,,11547.0,7.94
2016-07-18 00:00:00+00:00,,20139.0,13.88
2016-07-19 00:00:00+00:00,,22981.0,15.88
2016-07-20 00:00:00+00:00,,20887.0,14.69
2016-07-21 00:00:00+00:00,,22670.0,18.14
2016-07-22 00:00:00+00:00,,21753.0,16.92
2016-07-23 00:00:00+00:00,,25708.0,18.67
2016-07-24 00:00:00+00:00,,16254.0,13.04
2016-07-25 00:00:00+00:00,,13579.0,9.71
2016-07-26 00:00:00+00:00,,26211.0,19.76
2016-07-27 00:00:00+00:00,,30368.0,25.14
2016-07-28 00:00:00+00:00,,29265.0,20.35
2016-07-29 00:00:00+00:00,,33261.0,24.54
2016-07-30 00:00:00+00:00,,59770.0,31.65
2016-07-31 00:00:00+00:00,,32448.0,15.47
2016-08-01 00:00:00+00:00,,13629.0,10.19
2016-08-02 00:00:00+00:00,,19489.0,14.08
2016-08-03 00:00:00+00:00,,26740.0,18.36
2016-08-04 00:00:00+00:00,,21849.0,15.09
2016-08-05 00:00:00+00:00,,46006.0,34.42
2016-08-06 00:00:00+00:00,,30135.0,26.67
2016-08-07 00:00:00+00:00,,10201.0,7.62
2016-08-08 00:00:00+00:00,,14784.0,9.33
2016-08-09 00:00:00+00:00,,9635.0,7.89
2016-08-10 00:00:00+00:00,,4465.0,3.06
2016-08-11 00:00:00+00:00,,33123.0,30.97
2016-08-12 00:00:00+00:00,,14341.0,11.07
2016-08-13 00:00:00+00:00,,30984.0,22.62
2016-08-14 00:00:00+00:00,,29651.0,20.67
2016-08-15 00:00:00+00:00,,29531.0,23.13
2016-08-16 00:00:00+00:00,,34375.0,22.27
2016-08-17 00:00:00+00:00,,11489.0,7.69
2016-08-18 00:00:00+00:00,,34128.0,24.03
2016-08-19 00:00:00+00:00,,20152.0,13.32
2016-08-20 00:00:00+00:00,,18019.0,10.59
2016-08-21 00:00:00+00:00,,22908.0,17.29
2016-08-22 00:00:00+00:00,,32168.0,22.99
2016-08-23 00:00:00+00:00,,7942.0,5.22
2016-08-24 00:00:00+00:00,,5555.0,3.84
2016-08-25 00:00:00+00:00,,4154.0,2.65
2016-08-26 00:00:00+00:00,,4300.0,2.92
2016-08-27 00:00:00+00:00,,3341.0,2.08
2016-08-28 00:00:00+00:00,,2521.0,1.89
2016-08-29 00:00:00+00:00,,4418.0,2.91
2016-08-30 00:00:00+00:00,,4516.0,3.12
2016-08-31 00:00:00+00:00,,4200.0,2.91
2016-09-01 00:00:00+00:00,,2555.0,1.86
2016-09-02 00:00:00+00:00,,4933.0,3.34
2016-09-03 00:00:00+00:00,,4202.0,3.33
2016-09-04 00:00:00+00:00,,13332.0,8.56
2016-09-05 00:00:00+00:00,,9482.0,7.75
2016-09-06 00:00:00+00:00,,9709.0,7.54
2016-09-07 00:00:00+00:00,,6144.0,3.91
2016-09-08 00:00:00+00:00,,25704.0,14.44
2016-09-09 00:00:00+00:00,,9508.0,12.66
2016-09-10 00:00:00+00:00,,11473.0,12.86
2016-09-11 00:00:00+00:00,,2233.0,1.46
2016-09-12 00:00:00+00:00,,3906.0,2.57
2016-09-13 00:00:00+00:00,,6363.0,4.18
2016-09-14 00:00:00+00:00,,2137.0,1.65
2016-09-15 00:00:00+00:00,,5494.0,3.89
2016-09-16 00:00:00+00:00,,15429.0,13.33
2016-09-17 00:00:00+00:00,,2255.0,1.46
2016-09-18 00:00:00+00:00,,6144.0,4.2
2016-09-19 00:00:00+00:00,,1206.0,0.811
2016-09-20 00:00:00+00:00,,408.0,0.253
2016-09-21 00:00:00+00:00,,1588.0,0.997
2016-09-22 00:00:00+00:00,,10249.0,7.65
2016-09-23 00:00:00+00:00,,6274.0,4.13
2016-09-24 00:00:00+00:00,,391.0,0.223
2016-09-25 00:00:00+00:00,,535.89,0.282
2016-09-26 00:00:00+00:00,,1553.0,0.896
2016-09-27 00:00:00+00:00,,4520.0,2.97
2016-09-28 00:00:00+00:00,,4747.0,3.72
2016-09-29 00:00:00+00:00,,14058.0,11.23
2016-09-30 00:00:00+00:00,,3635.0,3.06
2016-10-01 00:00:00+00:00,,3705.0,2.24
2016-10-02 00:00:00+00:00,,1204.0,0.752
2016-10-03 00:00:00+00:00,,7232.0,4.44
2016-10-04 00:00:00+00:00,,10250.0,7.93
2016-10-05 00:00:00+00:00,,19101.0,17.26
2016-10-06 00:00:00+00:00,,9683.0,6.37
2016-10-07 00:00:00+00:00,,6821.0,4.34
2016-10-08 00:00:00+00:00,,11266.0,8.23
2016-10-09 00:00:00+00:00,,7503.0,4.18
2016-10-10 00:00:00+00:00,,10516.0,8.48
2016-10-11 00:00:00+00:00,,23019.0,17.3
2016-10-12 00:00:00+00:00,,4247.0,2.73
2016-10-13 00:00:00+00:00,,152.0,0.112
2016-10-14 00:00:00+00:00,,8445.0,6.18
2016-10-15 00:00:00+00:00,,8979.0,5.46
2016-10-16 00:00:00+00:00,,5383.0,3.55
2016-10-17 00:00:00+00:00,,18244.0,14.08
2016-10-18 00:00:00+00:00,,8400.0,5.83
2016-10-19 00:00:00+00:00,,10401.0,6.72
2016-10-20 00:00:00+00:00,,2517.0,1.85
2016-10-21 00:00:00+00:00,,10215.0,7.67
2016-10-22 00:00:00+00:00,,1125.0,0.69
2016-10-23 00:00:00+00:00,,4451.0,2.74
2016-10-24 00:00:00+00:00,,51.0,0.027
2016-10-25 00:00:00+00:00,,12167.0,14.29
2016-10-26 00:00:00+00:00,,4688.0,3.23
2016-10-27 00:00:00+00:00,,1729.0,1.33
2016-10-28 00:00:00+00:00,,4686.0,3.15
2016-10-29 00:00:00+00:00,,3348.0,1.9
2016-10-30 00:00:00+00:00,,2017.0,1.47
2016-10-31 00:00:00+00:00,,1394.0,1.03
2016-11-01 00:00:00+00:00,,1970.0,1.52
2016-11-02 00:00:00+00:00,,1592.0,1.19
2016-11-03 00:00:00+00:00,,14062.0,9.91
2016-11-04 00:00:00+00:00,,7274.0,4.88
2016-11-05 00:00:00+00:00,,1975.0,1.09
